timeFrame	cpuPerc	memoryPerc	memoryUsed
298	90.9	96.7	2.010247168
299	13.4	96.7	2.010226688
300	11.7	96.7	2.010218496
301	19.6	96.7	2.010345472
302	21.6	96.7	2.010578944
303	4.1	96.7	2.010570752
304	4.1	96.7	2.010570752
305	2.1	96.7	2.010570752
306	2.1	96.7	2.010570752
307	20.4	96.7	2.011271168
6	24.7	85.1	1.768472576
7	20.0	87.0	1.808089088
8	34.7	89.0	1.849585664
9	18.5	90.9	1.889058816
10	21.3	93.4	1.942126592
11	22.3	96.6	2.00865792
12	33.3	98.1	2.039300096
13	25.5	99.1	2.060685312
15	12.1	99.0	2.05758464
16	8.6	99.1	2.060775424
17	10.9	99.2	2.062802944
18	12.5	97.3	2.023911424
19	13.7	97.3	2.023018496
20	39.1	99.1	2.06055424
21	61.1	98.5	2.047729664
22	44.3	98.9	2.055430144
23	90.0	98.5	2.046898176
24	68.7	98.4	2.045227008
25	46.9	98.6	2.049880064
26	26.3	98.6	2.049847296
27	22.0	98.7	2.051784704
28	21.9	98.8	2.053791744
29	28.4	99.0	2.058313728
30	76.3	99.0	2.058186752
31	95.0	99.6	2.069921792
32	30.1	99.0	2.058375168
33	66.0	99.0	2.058747904
34	52.1	86.4	1.7972224
35	20.8	86.5	1.797931008
36	21.1	86.5	1.799254016
37	25.8	86.6	1.800671232
38	81.6	87.0	1.808523264
39	88.8	87.2	1.813061632
40	18.5	87.1	1.809870848
41	24.5	86.9	1.806999552
42	27.7	86.9	1.807654912
43	18.3	87.0	1.808326656
44	21.1	87.0	1.808560128
45	23.2	87.0	1.808805888
46	21.3	87.0	1.809055744
47	21.1	87.0	1.809465344
48	23.2	87.1	1.810505728
49	25.8	87.1	1.810755584
50	21.9	87.1	1.810866176
51	78.8	87.1	1.811492864
52	98.0	88.2	1.833783296
53	48.4	88.3	1.836101632
54	24.0	88.5	1.839210496
55	20.2	88.5	1.839296512
56	21.1	88.5	1.83953408
57	29.9	88.5	1.840631808
58	28.0	88.5	1.840623616
59	23.2	88.6	1.841246208
60	22.1	88.6	1.841238016
61	20.2	88.6	1.841983488
62	78.8	88.8	1.84629248
63	84.0	91.7	1.905958912
64	45.7	91.8	1.907867648
65	19.6	91.8	1.908953088
66	21.3	91.8	1.909510144
67	30.1	91.9	1.911197696
68	24.2	92.0	1.911697408
69	20.2	92.0	1.911947264
70	31.3	92.0	1.91318016
71	19.1	92.0	1.913389056
72	30.9	92.1	1.913856
73	18.9	92.1	1.914228736
74	21.6	92.1	1.914601472
75	19.4	92.1	1.914847232
76	20.2	92.1	1.915219968
77	85.9	92.4	1.920671744
78	68.7	93.7	1.948884992
79	17.4	93.8	1.949261824
80	22.1	93.8	1.949380608
81	23.4	93.8	1.9500032
82	35.4	93.8	1.9508224
83	35.7	93.9	1.951567872
84	19.4	93.9	1.951809536
85	24.2	93.7	1.948745728
86	51.5	93.7	1.948762112
87	100.0	93.9	1.952038912
88	67.7	94.0	1.954455552
89	17.2	94.0	1.954697216
90	18.3	94.0	1.954942976
91	18.9	94.0	1.95493888
92	33.0	94.1	1.956806656
93	32.3	94.2	1.9577856
94	17.2	94.2	1.95803136
95	25.0	94.2	1.95784704
96	16.1	94.2	1.957834752
97	21.4	94.2	1.95794944
98	22.9	94.2	1.9587072
99	33.7	94.2	1.958068224
100	20.8	94.2	1.958313984
101	21.9	94.2	1.958551552
102	32.6	94.3	1.959534592
103	19.6	94.3	1.959522304
104	20.0	94.3	1.959514112
105	20.0	94.3	1.959510016
106	84.0	94.5	1.964199936
107	81.2	95.9	1.993519104
108	24.0	95.9	1.993916416
109	21.5	95.9	1.994031104
110	21.3	95.9	1.994022912
111	24.5	95.9	1.994141696
112	48.5	96.0	1.995460608
113	20.2	96.0	1.995452416
114	20.2	96.0	1.995444224
115	22.1	96.0	1.9954688
116	85.9	96.0	1.995841536
117	98.0	97.8	2.032586752
118	28.7	97.9	2.034864128
119	19.1	97.9	2.03524096
120	20.0	97.9	2.035359744
6	24.7	85.1	1.768472576
7	20.0	87.0	1.808089088
8	34.7	89.0	1.849585664
9	18.5	90.9	1.889058816
10	21.3	93.4	1.942126592
11	22.3	96.6	2.00865792
12	33.3	98.1	2.039300096
13	25.5	99.1	2.060685312
15	12.1	99.0	2.05758464
16	8.6	99.1	2.060775424
17	10.9	99.2	2.062802944
18	12.5	97.3	2.023911424
19	13.7	97.3	2.023018496
20	39.1	99.1	2.06055424
21	61.1	98.5	2.047729664
22	44.3	98.9	2.055430144
23	90.0	98.5	2.046898176
24	68.7	98.4	2.045227008
25	46.9	98.6	2.049880064
26	26.3	98.6	2.049847296
27	22.0	98.7	2.051784704
28	21.9	98.8	2.053791744
29	28.4	99.0	2.058313728
30	76.3	99.0	2.058186752
31	95.0	99.6	2.069921792
32	30.1	99.0	2.058375168
33	66.0	99.0	2.058747904
34	52.1	86.4	1.7972224
35	20.8	86.5	1.797931008
36	21.1	86.5	1.799254016
37	25.8	86.6	1.800671232
38	81.6	87.0	1.808523264
39	88.8	87.2	1.813061632
40	18.5	87.1	1.809870848
41	24.5	86.9	1.806999552
42	27.7	86.9	1.807654912
43	18.3	87.0	1.808326656
44	21.1	87.0	1.808560128
45	23.2	87.0	1.808805888
46	21.3	87.0	1.809055744
47	21.1	87.0	1.809465344
48	23.2	87.1	1.810505728
49	25.8	87.1	1.810755584
50	21.9	87.1	1.810866176
51	78.8	87.1	1.811492864
52	98.0	88.2	1.833783296
53	48.4	88.3	1.836101632
54	24.0	88.5	1.839210496
55	20.2	88.5	1.839296512
56	21.1	88.5	1.83953408
57	29.9	88.5	1.840631808
58	28.0	88.5	1.840623616
59	23.2	88.6	1.841246208
60	22.1	88.6	1.841238016
61	20.2	88.6	1.841983488
62	78.8	88.8	1.84629248
63	84.0	91.7	1.905958912
64	45.7	91.8	1.907867648
65	19.6	91.8	1.908953088
66	21.3	91.8	1.909510144
67	30.1	91.9	1.911197696
68	24.2	92.0	1.911697408
69	20.2	92.0	1.911947264
70	31.3	92.0	1.91318016
71	19.1	92.0	1.913389056
72	30.9	92.1	1.913856
73	18.9	92.1	1.914228736
74	21.6	92.1	1.914601472
75	19.4	92.1	1.914847232
76	20.2	92.1	1.915219968
77	85.9	92.4	1.920671744
78	68.7	93.7	1.948884992
79	17.4	93.8	1.949261824
80	22.1	93.8	1.949380608
81	23.4	93.8	1.9500032
82	35.4	93.8	1.9508224
83	35.7	93.9	1.951567872
84	19.4	93.9	1.951809536
85	24.2	93.7	1.948745728
86	51.5	93.7	1.948762112
87	100.0	93.9	1.952038912
88	67.7	94.0	1.954455552
89	17.2	94.0	1.954697216
90	18.3	94.0	1.954942976
91	18.9	94.0	1.95493888
92	33.0	94.1	1.956806656
93	32.3	94.2	1.9577856
94	17.2	94.2	1.95803136
95	25.0	94.2	1.95784704
96	16.1	94.2	1.957834752
97	21.4	94.2	1.95794944
98	22.9	94.2	1.9587072
99	33.7	94.2	1.958068224
100	20.8	94.2	1.958313984
101	21.9	94.2	1.958551552
102	32.6	94.3	1.959534592
103	19.6	94.3	1.959522304
104	20.0	94.3	1.959514112
105	20.0	94.3	1.959510016
106	84.0	94.5	1.964199936
107	81.2	95.9	1.993519104
108	24.0	95.9	1.993916416
109	21.5	95.9	1.994031104
110	21.3	95.9	1.994022912
111	24.5	95.9	1.994141696
112	48.5	96.0	1.995460608
113	20.2	96.0	1.995452416
114	20.2	96.0	1.995444224
115	22.1	96.0	1.9954688
116	85.9	96.0	1.995841536
117	98.0	97.8	2.032586752
118	28.7	97.9	2.034864128
119	19.1	97.9	2.03524096
120	20.0	97.9	2.035359744
121	22.3	97.9	2.035851264
122	36.7	97.9	2.0363264
123	19.8	97.9	2.036310016
124	21.9	98.0	2.036432896
125	21.3	98.0	2.03655168
126	20.2	98.0	2.037075968
127	28.4	98.0	2.037325824
128	87.6	98.0	2.038468608
129	97.0	98.1	2.039222272
130	20.4	97.9	2.035064832
131	31.3	97.7	2.030592
132	20.4	97.5	2.026135552
133	21.1	97.2	2.021810176
134	32.3	97.1	2.018123776
135	23.2	96.8	2.01316352
136	26.3	96.6	2.008895488
137	38.1	96.4	2.003800064
138	19.4	96.2	1.999089664
139	21.3	95.9	1.99462912
140	19.6	95.7	1.990017024
141	24.0	95.5	1.985851392
